1,2 (algebra)
2,2
3,8
4,algebra
5,1
6,1
7,3
8,2
9,algebra
10,1
11,1
12,2
13,1
14,1
15,10
16,algebra
17,2
18,1
19,1
20,1
21,2
22,1
23,9
24,1
25,algebra
26,2
27,1
28,1
29,2
30,2
31,6
32,1
33,1
34,6
35,28
36,algebra
37,5
38,5
39,3
40,1
41,1
42,224
43,2
44,3
45,1
46,4
47,228
48,9
49,algebra
50,1
51,3
52,2
53,1
54,15
55,2
56,2
57,1
58,6
59,2
60,1
61,54
62,4
63,1
64,algebra
65,24
66,14
67,1
68,87
69,1
70,18
71,5
72,5
73,1
74,319
75,17
76,1
77,8
78,13
79,2
80,1
81,algebra
82,1
83,1
84,1
85,1
86,5
87,1
88,3
89,1
90,1
91,1
92,143
93,3
94,6
95,4
96,2
97,14
98,1
99,1
